,Year,Type,Country,Area,Location,Activity,Injury,Time
1656,2003.0,Unprovoked,USA,Florida,"Ponte Vedra Beach, St. Johns County",surfing,Left foot (sole) bitten,15:00 - 17:59
1657,2003.0,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Seal Rocks",surfing,Left ankle & foot lacerated,15:00 - 17:59
1658,2003.0,Unprovoked,USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",surfing,Left arm severed below shoulder,06:00 - 08:59
1659,2003.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Laceration on right ankle & heel,12:00 - 14:59
1663,2003.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",surfing,Minor puncture wounds in hand,15:00 - 17:59
1664,2003.0,Unprovoked,USA,Florida,"Stuart Park Beach, Martin County",surfing,5 to 6 lacerations on right foot & ankle,12:00 - 14:59
1666,2003.0,Unprovoked,USA,Florida,"Crawford Road beach approach at New Smyrna Beach, Volusia County",surfing,Left foot bitten,12:00 - 14:59
1667,2003.0,Unprovoked,USA,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",fishing,"Left thigh abraded, right knee and right index finger injured",12:00 - 14:59
1668,2003.0,Unprovoked,FIJI,Taveuni,Welagi coastal reef off Drekeniwai,boating,FATAL abdomen bitten,21:00 - 23:59
1669,2003.0,Unprovoked,USA,Florida,"North Hutchinson Island, St. Lucie Couny",surfing,Arm lacerated,06:00 - 08:59
1670,2003.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,Left foot bitten,09:00 - 11:59
1671,2003.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,Left heel lacerated,15:00 - 17:59
1672,2003.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,3 puncture wounds on left foot,12:00 - 14:59
1673,2003.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Left foot: lacerations on heel and sole,15:00 - 17:59
1676,2003.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County ",surfing,Left calf avulsion,15:00 - 17:59
1677,2003.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",playing,Ankle lacerated,12:00 - 14:59
1678,2003.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Near the wreck of the Kakapo off Noordhoek Beach,surfing,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",12:00 - 14:59
1681,2003.0,Unprovoked,USA,California,"Avila Beach, San Luis Obispo County",swimming,"FATAL          Hip & upper thigh bitten, femoral artery severed ",06:00 - 08:59
1683,2003.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,surfing,"No injury, wetsuit torn & board bitten",06:00 - 08:59
1685,2003.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,Laceration to little finger of  right hand,15:00 - 17:59
1686,2003.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",playing,Heel & sole of left foot,12:00 - 14:59
1687,2003.0,Unprovoked,BAHAMAS,Abaco Islands,Bakers Bay,fishing,Right thigh bitten,12:00 - 14:59
1690,2003.0,Unprovoked,BAHAMAS,Abaco Islands,10 miles west of Walker's Cay,fishing,Left calf bitten,12:00 - 14:59
1694,2003.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Right foot & toes lacerated,12:00 - 14:59
1695,2003.0,Unprovoked,USA,Florida,St Augustine Beach. St. Johns County,surfing,Ankle lacerated,06:00 - 08:59
1697,2003.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",playing,2 lacerations to the thigh,12:00 - 14:59
1698,2003.0,Unprovoked,USA,Hawaii,"Makua Beach, Oahu",swimming,Right foot bitten,06:00 - 08:59
1700,2003.0,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",surfing,Hand bitten ,15:00 - 17:59
1701,2003.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,6 puncture wounds to left ankle,09:00 - 11:59
1703,2003.0,Unprovoked,USA,Florida,"Coral Cove Park, Jupiter Inlet, Palm Beach County",surfing,Left foot lacerated,09:00 - 11:59
1704,2003.0,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County ",playing,Left foot bitten,12:00 - 14:59
1705,2003.0,Unprovoked,USA,Hawaii,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,swimming,Right calf & heel bitten,09:00 - 11:59
1707,2003.0,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",playing,Laceration to right lower leg,12:00 - 14:59
1710,2003.0,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",swimming,Bitten on finger,18:00 - 20:59
1711,2003.0,Unprovoked,BRAZIL,Pernambuco,"Pau Amarelo Beach, Paulista District (17 km from Recife)",surfing,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",15:00 - 17:59
1713,2003.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County ",surfing,Right leg bitten,12:00 - 14:59
1714,2003.0,Unprovoked,USA,Florida,"Shepard Park, Cocoa Beach, Brevard County ",surfing,Survived,12:00 - 14:59
1715,2003.0,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",surfing,Left foot bitten,12:00 - 14:59
1716,2003.0,Unprovoked,USA,Florida,"Sunglow Pier, Daytona Beach Shores, Volusia County",surfing,Small lacerations to foot,09:00 - 11:59
1717,2003.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Left ankle bitten or right foot,12:00 - 14:59
1718,2003.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County  ",playing,Left foot bitten,12:00 - 14:59
1719,2003.0,Unprovoked,USA,Florida,"North Beach, Patrick AFB, Brevard County",surfing,2 lacerations on left thigh,06:00 - 08:59
1720,2003.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",swimming,Left calf lacerated,12:00 - 14:59
1722,2003.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",surfing,Arm lacerated,18:00 - 20:59
1723,2003.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Left hand and wrist bitten,06:00 - 08:59
1725,2003.0,Unprovoked,NEW ZEALAND,Southland,East side of Bench Island in the Foveaux Strait,swimming,Arm lacerated (shark made 3 strikes),09:00 - 11:59
1726,2003.0,Unprovoked,AUSTRALIA,South Australia,"Goolwa Beach, Fleurieu Peninsula",playing,Ankle lacerated,18:00 - 20:59
1727,2003.0,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",swimming,Left hand bitten,12:00 - 14:59
1729,2003.0,Unprovoked,AUSTRALIA,Queensland,Burleigh Lake on the Gold Coast,swimming,FATAL,06:00 - 08:59
1732,2003.0,Unprovoked,AUSTRALIA,Western Australia,Left break at the 'Hot Spot' at Sheringa Beach,surfing,"No injury, but her surfboard was bitten",12:00 - 14:59
1737,2002.0,Unprovoked,AUSTRALIA,Queensland,Miami Lake,swimming,FATAL,00:00 - 02:59
1739,2002.0,Unprovoked,MICRONESIA,Caroline Islands,"Pision Reef, Truk",swimming,Minor injury to right calf,12:00 - 14:59
1740,2002.0,Unprovoked,USA,California,"Salmon Creek, Sonoma County",surfing,Both legs severely lacerated,09:00 - 11:59
1741,2002.0,Unprovoked,USA,Hawaii,Ka'anapali,swimming,Right shoulder forarm & wrist bitten,09:00 - 11:59
1742,2002.0,Unprovoked,TURKS & CAICOS,Caicos Bank,French Cay,swimming,"Right upper am, shoulder & back severely  bitten",06:00 - 08:59
1743,2002.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,1.5-inch laceration,12:00 - 14:59
1744,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Puncture wounds on right foot,12:00 - 14:59
1746,2002.0,Unprovoked,USA,Hawaii,"Kama'ole Beach Park I, Kihei, Maui",swimming,Left foot bitten ,09:00 - 11:59
1747,2002.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Jaboatão dos Guararapes City, Recife",swimming,"FATAL, body not recovered",15:00 - 17:59
1748,2002.0,Unprovoked,USA,Florida,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",surfing,Left foot bitten,18:00 - 20:59
1749,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Abrasions on right hand & deep laceration on middle finger,12:00 - 14:59
1750,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Heel & back of right knee lacerated,12:00 - 14:59
1751,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Left hand lacerated and abraded,12:00 - 14:59
1752,2002.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",surfing,Right hand severely lacerated,15:00 - 17:59
1753,2002.0,Unprovoked,USA,Florida,"Sebastian Inlet, Brevard County",surfing,Left hand bitten,06:00 - 08:59
1754,2002.0,Unprovoked,USA,Hawaii,"Kahala, O'ahu",surfing,"No injury, surfboard bitten ",15:00 - 17:59
1758,2002.0,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",surfing,No injury,06:00 - 08:59
1759,2002.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Jaboatão dos Guararapes City",swimming,"Left thigh bitten, leg surgically amputated",15:00 - 17:59
1760,2002.0,Unprovoked,USA,Hawaii,"Hideaways Beach, Princeville, Kaua'i",surfing,"No injury, shark fin seen just before board ripped away & dragged out to sea",06:00 - 08:59
1761,2002.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Glencairn, False Bay",surfing,No injury,15:00 - 17:59
1762,2002.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,Bitten above & below right knee,15:00 - 17:59
1764,2002.0,Unprovoked,USA,Hawaii,"Kewalo Basin Channel, O'ahu",surfing,Left foot lacerated ,15:00 - 17:59
1765,2002.0,Unprovoked,USA,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",swimming,Both arms & leg bitten,15:00 - 17:59
1766,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Big toe bitten,12:00 - 14:59
1767,2002.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",surfing,Lacerations on heel & dorsum of right foot,15:00 - 17:59
1768,2002.0,Unprovoked,USA,Florida,"Ponce De Leon Inlet, Volusia County",playing,Ankle & leg lacerated,12:00 - 14:59
1770,2002.0,Unprovoked,USA,North Carolina,"Topsail Beach, Pender County",playing,Leg lacerated,09:00 - 11:59
1771,2002.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",surfing,Heel bitten,18:00 - 20:59
1772,2002.0,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",swimming,Calf bitten,15:00 - 17:59
1775,2002.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",surfing,Right hand severed,15:00 - 17:59
1776,2002.0,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",playing,"Calf, foot & hand bitten",15:00 - 17:59
1777,2002.0,Unprovoked,AUSTRALIA,Queensland,Sunshine Beach,surfing,minor injury to foot,09:00 - 11:59
1778,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,Small lacerations on right lower leg,12:00 - 14:59
1782,2002.0,Unprovoked,USA,Hawaii,"Anini Beach, Kaua'i",surfing,"No injury, shark bit side of surfboard",12:00 - 14:59
1783,2002.0,Unprovoked,USA,Florida,"St Augustine Beach, St Johns County",surfing,Right hand lacerated,12:00 - 14:59
1784,2002.0,Unprovoked,USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",surfing,6-inch gash on right foot,09:00 - 11:59
1785,2002.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",swimming,Right calf lacerated,12:00 - 14:59
1787,2002.0,Unprovoked,USA,California,"Stinson Beach, Marin County",surfing,Lacerated leg & back,12:00 - 14:59
1788,2002.0,Unprovoked,USA,Florida,"St. George Island (near Apachicola), Franklin County",swimming,Lacerated foot,15:00 - 17:59
1790,2002.0,Unprovoked,USA,Florida,"Atlantic Avenue, Palm Beach County",surfing,"2-inch wound on dorsum of right foot, 1-inch wound on sole",06:00 - 08:59
1794,2002.0,Unprovoked,BRAZIL,Pernambuco,"Pina, Recife",surfing,Leg injured,15:00 - 17:59
1796,2002.0,Unprovoked,AUSTRALIA,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",surfing,"FATAL, torso & leg bitten  ",12:00 - 14:59
1798,2002.0,Unprovoked,USA,Florida,"St. Augustine Beach, St. Johns County",surfing,Left foot bitten,09:00 - 11:59
1799,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Left foot bitten,09:00 - 11:59
1800,2002.0,Unprovoked,AUSTRALIA,New South Wales,"Bar Beach, Newcastle",swimming,Foot bitten,18:00 - 20:59
1801,2002.0,Unprovoked,BAHAMAS,Abaco Islands,Walkers Cay,playing,Calf bitten,09:00 - 11:59
1802,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Two half-inch lacerations on right heel and one near small toe,15:00 - 17:59
1803,2002.0,Unprovoked,USA,Florida,"Lauderdale-By-The-Sea, Broward County",swimming,Upper left arm bitten,09:00 - 11:59
1804,2002.0,Unprovoked,USA,Hawaii,"Brenecke Beach, Po'ipu, Kaua'i",surfing,Left leg severed below knee,12:00 - 14:59
1805,2002.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",playing,Foot bitten,09:00 - 11:59
1806,2002.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",swimming,"Severe kacerations, FATAL",15:00 - 17:59
1807,2002.0,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",surfing,Punctures on left foot and foot ,15:00 - 17:59
1808,2002.0,Unprovoked,USA,Florida,"Deerfield Beach (near Boca Raton), Broward County",swimming,Arm bitten,06:00 - 08:59
1809,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Several  puncture wounds on lower right leg,09:00 - 11:59
1812,2002.0,Unprovoked,AUSTRALIA,Queensland,Sunshine Beach,surfing,Heel / foot bitten,09:00 - 11:59
1815,2002.0,Unprovoked,AUSTRALIA,New South Wales,Just north of Fingal Spit,surfing,Bruises & minor cuts,18:00 - 20:59
1817,2002.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban Harbor,fishing,Leg bitten & surgically amputated,00:00 - 02:59
1819,2002.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,surfing,Foot & calf bitten,18:00 - 20:59
1820,2002.0,Unprovoked,USA,Hawaii,"Olowalu, Maui",swimming,Lacerations to buttocks & thigh,12:00 - 14:59
1823,2001.0,Unprovoked,USA,Hawaii,"Kapalua, Maui",surfing,"No injury, portion of board's lower surface removed",15:00 - 17:59
1826,2001.0,Unprovoked,AUSTRALIA,Queensland,200 miles offshore,swimming,Lacerations to right forearm & shoulder injured,12:00 - 14:59
1827,2001.0,Unprovoked,MEXICO,Guerrero,Ixtapa,surfing,Hand injured,09:00 - 11:59
1830,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,"1"" to 2"" cuts on right ankle & foot",15:00 - 17:59
1832,2001.0,Unprovoked,USA,Florida,A quarter mile north of Fort Pierce Inlet,surfing,"2 lacerations on lower back, punctures on buttock",15:00 - 17:59
1833,2001.0,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",surfing,Foot bitten,12:00 - 14:59
1836,2001.0,Unprovoked,USA,Florida,"Key Biscayne, Dade County",playing,Minor injury to left leg,18:00 - 20:59
1838,2001.0,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",swimming,FATAL,18:00 - 20:59
1839,2001.0,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",swimming,Left buttock & foot  severed,18:00 - 20:59
1840,2001.0,Unprovoked,USA,Florida,"Mayport Naval Station, Jacksonville, Duval Country",playing,Right calf lacerated,12:00 - 14:59
1841,2001.0,Unprovoked,USA,Virginia,"Sandbridge Beach, Princess Anne County",swimming,"FATAL, thigh bitten ",18:00 - 20:59
1842,2001.0,Unprovoked,BAHAMAS,Abaco Islands,North of Grand Cay,fishing,Torso lacerated,12:00 - 14:59
1843,2001.0,Unprovoked,USA,Florida,"Coquina Beach, Anna Maria Island, Manatee County",playing,Punctures & lacerations on elbow & forearm,12:00 - 14:59
1844,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Heel lacerated,15:00 - 17:59
1845,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Thigh & foot bitten,15:00 - 17:59
1846,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Upper left thigh & right foot bitten,12:00 - 14:59
1847,2001.0,Unprovoked,USA,Florida,"Daytona, Volusia County ",surfing,Foot lacerated,15:00 - 17:59
1848,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Thigh lacerated,15:00 - 17:59
1849,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Cuts on right foot,12:00 - 14:59
1850,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to lower leg,12:00 - 14:59
1851,2001.0,Unprovoked,USA,Florida,"Wilbur-by-the-Sea, Volusia County",surfing,Left foot lacerated,09:00 - 11:59
1852,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Cuts on right foot,12:00 - 14:59
1853,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Back of left hand gashed,12:00 - 14:59
1854,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Left ankle bitten,09:00 - 11:59
1855,2001.0,Unprovoked,BAHAMAS,Grand Bahama Island,"High Rock, 25 to 30 miles east of Freeport",fishing,Calf bitten,15:00 - 17:59
1858,2001.0,Unprovoked,BAHAMAS,Grand Bahama Island,Freeport,swimming,"Leg bitten, later surgically amputated above the knee",09:00 - 11:59
1864,2001.0,Unprovoked,USA,Florida,"Santa Rosa Island, Escambia County",surfing,Left foot & heel lacerated,12:00 - 14:59
1865,2001.0,Unprovoked,USA,Florida,"Amelia Island, Nassau County",surfing,Foot lacerated,12:00 - 14:59
1866,2001.0,Unprovoked,MEXICO,Baja California,Ensenada,surfing,Foot bitten,18:00 - 20:59
1867,2001.0,Unprovoked,USA,Florida,Gulf Islands National Seashore,swimming,"Arm severed, surgically reattached",18:00 - 20:59
1869,2001.0,Unprovoked,USA,Georgia,"Jekyll Island, Glynn County",swimming,2-inch cut on dorsum of left foot,18:00 - 20:59
1876,2001.0,Unprovoked,USA,South Carolina,"Fripp Island, Beaufort County",swimming,5.5-inch laceration on calf,18:00 - 20:59
1880,2001.0,Unprovoked,AUSTRALIA,New South Wales,Noraville,surfing,"Chest lacerated, surfboard bitten",15:00 - 17:59
1881,2001.0,Unprovoked,USA,Florida,"Jacksonville, Duval County",surfing,Foot lacerated ,18:00 - 20:59
1883,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,4 small lacerations on lower right leg,15:00 - 17:59
1884,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Foot & ankle lacerated,09:00 - 11:59
1885,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Right foot & ankle lacerated,09:00 - 11:59
1887,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Foot & ankle lacerated,15:00 - 17:59
1888,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Small cuts on big & pinky toes of left foot,15:00 - 17:59
1889,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Foot & ankle lacerated,12:00 - 14:59
1890,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",surfing,Foot lacerated,09:00 - 11:59
1892,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",surfing,Lacerations to top & bottom of left foot,12:00 - 14:59
1893,2001.0,Unprovoked,USA,Hawaii,"Ewa Beach, O'ahu",surfing,Minor punctures & lacerations on left hand ,06:00 - 08:59
1895,2001.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,surfing,"Thigh, hip & buttock bitten",09:00 - 11:59
1897,2001.0,Unprovoked,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",surfing,Minor lacerations to dorsum of left foot,12:00 - 14:59
1899,2001.0,Unprovoked,AUSTRALIA,New South Wales,Nambucca River Entrance,surfing,Calf bitten,09:00 - 11:59
1900,2001.0,Unprovoked,USA,Hawaii,"Sandy Beach, Oahu",surfing,"Minor cuts on left hand, body board bitten",12:00 - 14:59
1907,2001.0,Unprovoked,AUSTRALIA,New South Wales,Broome Head,surfing,Leg bitten,15:00 - 17:59
1914,2000.0,Unprovoked,FIJI,Taveuni,Garden Island Resort,swimming,"FATAL, leg severed ",12:00 - 14:59
1917,2000.0,Unprovoked,AUSTRALIA,Queensland,"Sykes Reef, Great Barrier Reef",fishing,Left elbow and forearm bitten,09:00 - 11:59
1921,2000.0,Unprovoked,USA,Florida,"Bonita Springs, Lee County",swimming,Right calf lacerated,12:00 - 14:59
1923,2000.0,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",swimming,Leg & feet lacerated,06:00 - 08:59
1924,2000.0,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",swimming,"FATAL, torso bitten, leg severed ",06:00 - 08:59
1925,2000.0,Unprovoked,USA,California,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",surfing,Both thighs bitten,15:00 - 17:59
1927,2000.0,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St Lucie County",surfing,Leg lacerated,18:00 - 20:59
1928,2000.0,Unprovoked,USA,Hawaii,Olowalu,swimming,Right side of back / torso lacerated,09:00 - 11:59
1929,2000.0,Unprovoked,USA,Florida,"South Beach, Sebastian, Indian River County",swimming,Right hand lacerated,15:00 - 17:59
1930,2000.0,Unprovoked,USA,Florida,"Lake Worth Inlet/West Palm Beach, Palm Beach County",surfing,Foot lacerated,06:00 - 08:59
1931,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Fingers lacerated,12:00 - 14:59
1932,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Right foot & heel lacerated,12:00 - 14:59
1933,2000.0,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",surfing,Upper left arm lacerated,15:00 - 17:59
1934,2000.0,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",surfing,No injury,09:00 - 11:59
1935,2000.0,Unprovoked,AUSTRALIA,South Australia,"Black Point, Eyre Peninsula",surfing,FATAL,12:00 - 14:59
1936,2000.0,Unprovoked,AUSTRALIA,South Australia,Cactus Beach near Penong,surfing,FATAL,06:00 - 08:59
1938,2000.0,Unprovoked,OKINAWA,Miyako Island,Sunayama Beach,surfing, FATAL,15:00 - 17:59
1940,2000.0,Unprovoked,USA,Florida,"Fort Pierce Inlet, St Lucie County",surfing,Right lower leg & ankle lacerated,18:00 - 20:59
1941,2000.0,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River or Brevard County",surfing,Puncture wounds on knee,12:00 - 14:59
1942,2000.0,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",surfing,Finger lacerated,12:00 - 14:59
1943,2000.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",swimming,Minor injury to arm and hand,15:00 - 17:59
1944,2000.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,swimming,Swim fin bitten,09:00 - 11:59
1946,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Left foot lacerated ,09:00 - 11:59
1947,2000.0,Unprovoked,REUNION,Saint-Pierre,Pic du Diable ,surfing,Left arm bitten,18:00 - 20:59
1949,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,Punctures & lacerations on right foot,12:00 - 14:59
1953,2000.0,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",surfing,Left calf lacerated,09:00 - 11:59
1954,2000.0,Unprovoked,USA,Florida,"South Jacksonville Beach, Duval County",surfing,Minor lacerations to the dorsum of the right foot,15:00 - 17:59
1955,2000.0,Unprovoked,USA,Florida,"St. Augustine, St. Johns County",playing,Severely bitten on lower leg ,15:00 - 17:59
1967,2000.0,Unprovoked,USA,Florida,"Daytona  Beach, Volusia County",playing,Minor laceration & 3 punctures to right foot,15:00 - 17:59
1968,2000.0,Unprovoked,USA,Florida,"Neptune Avenue, Ormond Beach, Volusia County",swimming,Knee & calf lacerated,18:00 - 20:59
1970,2000.0,Unprovoked,USA,North Carolina,"Pine Island, Corolla, Currituck County",playing,Calf lacerated,15:00 - 17:59
1971,2000.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",playing,Left inner thigh,18:00 - 20:59
1972,2000.0,Unprovoked,USA,Florida,"Artifical reef 3 miles off Manatee Beach, Manatee County",fishing,Lower right calf lacerated,12:00 - 14:59
1973,2000.0,Unprovoked,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",playing,Left calf & hand lacerated,15:00 - 17:59
1974,2000.0,Unprovoked,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",playing,Left thigh lacerated,12:00 - 14:59
1978,2000.0,Unprovoked,USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County",playing,Right ankle lacerated,06:00 - 08:59
1980,2000.0,Unprovoked,USA,Texas,"J.P. Luby Surf Park, Corpus Christi",surfing,Foot lacerated,15:00 - 17:59
1981,2000.0,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",swimming,Puncture wounds on right hip and arm,06:00 - 08:59
1982,2000.0,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",swimming,Right forearm severed surgically amputated above elbow,06:00 - 08:59
1983,2000.0,Unprovoked,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",swimming,Right forearm lacerated,12:00 - 14:59
1989,2000.0,Unprovoked,USA,Florida,"On the south side of Ponce Inlet, Volusia County",playing,Left foot lacerated,09:00 - 11:59
1990,2000.0,Unprovoked,USA,Florida,"Municipal Beach, Riviera Beach, Palm Beach County",surfing,Puncture marks on right thigh,12:00 - 14:59
1992,2000.0,Unprovoked,AUSTRALIA,Queensland,"Main Beach, Gold Coast",swimming,Left calf bitten,12:00 - 14:59
1993,2000.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",surfing,Right knee lacerated,09:00 - 11:59
1994,2000.0,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",surfing,Left hand bitten,12:00 - 14:59
1995,2000.0,Unprovoked,NEW CALEDONIA,North Province,Poum,fishing,FATAL,06:00 - 08:59
1996,2000.0,Unprovoked,AUSTRALIA,New South Wales,"McMasters Beach, Central Coast",surfing,No Injury,18:00 - 20:59
2001,2000.0,Unprovoked,USA,Louisiana,Midnight Lump (38 miles offshore),fishing,"No injury to diver, speargun damaged",15:00 - 17:59
2003,2000.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Struis Bay,surfing,Foot bitten,12:00 - 14:59
2016,1999.0,Unprovoked,USA,Florida,"Boynton Beach, Palm Beach County",surfing,Right arm & fingers lacerated,12:00 - 14:59
